customer_state,product_category_name,total_revenue,category_rank
PE,beleza_saude,41604.78000000004,1
PE,relogios_presentes,31049.780000000017,2
PE,esporte_lazer,20364.510000000013,3
AM,beleza_saude,2776.0299999999997,1
AM,ferramentas_jardim,1980.88,2
AM,informatica_acessorios,1960.74,3
MS,beleza_saude,11289.56999999999,1
MS,utilidades_domesticas,10861.739999999993,2
MS,informatica_acessorios,9878.789999999995,3
CE,beleza_saude,32419.180000000055,1
CE,relogios_presentes,29285.24000000002,2
CE,informatica_acessorios,12504.749999999987,3
RO,beleza_saude,7085.759999999999,1
RO,relogios_presentes,4553.27,2
RO,esporte_lazer,3321.88,3
RR,esporte_lazer,1350.6,1
RR,beleza_saude,1050.6100000000001,2
RR,bebes,988.87,3
AP,informatica_acessorios,2149.5199999999995,1
AP,relogios_presentes,1639.8000000000002,2
AP,pcs,1437.0,3
PI,beleza_saude,10290.189999999995,1
PI,automotivo,10134.68,2
PI,relogios_presentes,7736.1799999999985,3
PR,relogios_presentes,59967.04000000003,1
PR,esporte_lazer,58630.200000000215,2
PR,beleza_saude,54949.36000000009,3
RJ,relogios_presentes,185379.6499999992,1
RJ,cama_mesa_banho,148035.22999999794,2
RJ,beleza_saude,145298.61999999927,3
RN,beleza_saude,13886.469999999994,1
RN,relogios_presentes,10160.419999999998,2
RN,telefonia,5303.289999999998,3
SE,beleza_saude,8883.659999999994,1
SE,cool_stuff,5686.67,2
SE,moveis_decoracao,4231.389999999999,3
DF,relogios_presentes,32730.370000000024,1
DF,beleza_saude,29862.820000000072,2
DF,informatica_acessorios,25029.330000000027,3
AL,beleza_saude,12780.259999999995,1
AL,relogios_presentes,11683.269999999997,2
AL,informatica_acessorios,7714.359999999997,3
MT,beleza_saude,15301.789999999988,1
MT,relogios_presentes,15006.909999999996,2
MT,automotivo,10507.409999999994,3
SP,cama_mesa_banho,478284.52000001585,1
SP,beleza_saude,462305.2200000055,2
SP,relogios_presentes,435009.92000000214,3
SC,esporte_lazer,44116.90000000014,1
SC,beleza_saude,39760.16000000007,2
SC,informatica_acessorios,37757.13000000009,3
AC,esporte_lazer,1677.46,1
AC,relogios_presentes,1389.6,2
AC,beleza_saude,1386.58,3
GO,relogios_presentes,33257.72000000003,1
GO,beleza_saude,28312.300000000087,2
GO,cama_mesa_banho,22645.310000000016,3
RS,cama_mesa_banho,60270.740000000245,1
RS,moveis_decoracao,54813.58000000021,2
RS,esporte_lazer,53788.32000000013,3
TO,relogios_presentes,5446.89,1
TO,esporte_lazer,5144.319999999999,2
TO,beleza_saude,4798.989999999999,3
BA,beleza_saude,51367.91000000003,1
BA,relogios_presentes,48885.59000000003,2
BA,esporte_lazer,38644.61000000005,3
ES,relogios_presentes,29461.000000000025,1
ES,cama_mesa_banho,22678.650000000027,2
ES,beleza_saude,20214.490000000013,3
PB,beleza_saude,16286.979999999992,1
PB,relogios_presentes,13388.88,2
PB,informatica_acessorios,7218.069999999999,3
MA,beleza_saude,12747.179999999988,1
MA,informatica_acessorios,12581.429999999991,2
MA,relogios_presentes,9904.989999999996,3
MG,beleza_saude,157558.29999999906,1
MG,cama_mesa_banho,129643.97999999899,2
MG,relogios_presentes,123759.22999999988,3
PA,beleza_saude,23755.830000000005,1
PA,relogios_presentes,22559.820000000003,2
PA,esporte_lazer,12733.24999999999,3
