customer_state,total_orders,delayed_orders,avg_delay_days,pct_delayed
AL,397,85,-8.707808564231739,21.410579345088163
MA,717,125,-9.571827057182706,17.433751743375176
SE,335,51,-10.02089552238806,15.223880597014926
PI,476,66,-11.306722689075631,13.865546218487395
CE,1279,176,-10.80453479280688,13.760750586395622
RR,41,5,-17.29268292682927,12.195121951219512
BA,3256,396,-10.79453316953317,12.162162162162161
RJ,12353,1495,-11.766858253055938,12.102323322269894
PA,946,106,-14.066596194503171,11.20507399577167
ES,1995,214,-10.496240601503759,10.726817042606516
PB,517,54,-13.261121856866538,10.444874274661508
TO,274,27,-12.13138686131387,9.854014598540147
MS,701,68,-11.052781740370898,9.70042796005706
PE,1593,153,-13.293785310734464,9.6045197740113
RN,474,44,-13.649789029535865,9.282700421940929
SC,3547,291,-11.508316887510572,8.204116154496758
GO,1957,128,-12.185487991824221,6.540623403168114
RS,5344,325,-13.910366766467066,6.081586826347305
MT,886,53,-14.363431151241535,5.981941309255079
DF,2080,118,-12.048076923076923,5.673076923076923
MG,11355,520,-13.240774988991634,4.579480405107882
SP,40495,1820,-11.076379799975305,4.49438202247191
PR,4923,199,-13.314239284988828,4.042250660166565
AC,80,3,-20.725,3.75
AP,67,2,-19.686567164179106,2.985074626865672
RO,243,7,-20.102880658436213,2.880658436213992
AM,145,4,-19.56551724137931,2.7586206896551726
